x,y,z
-7.170706391334533691e-01,2.628796005249023438e+01,1.810692906379699707e+00
-6.607186198234558105e-01,2.632935333251953125e+01,1.813440561294555664e+00
-6.025898456573486328e-01,2.630081176757812500e+01,1.811379790306091309e+00
-5.441752076148986816e-01,2.625219154357910156e+01,1.807945251464843750e+00
-4.850506484508514404e-01,2.615357017517089844e+01,1.801076173782348633e+00
-4.279913008213043213e-01,2.615456581115722656e+01,1.801076173782348633e+00
-3.697981536388397217e-01,2.607563591003417969e+01,1.795580983161926270e+00
-3.138667643070220947e-01,2.615618515014648438e+01,1.801076173782348633e+00
-2.561165094375610352e-01,2.608697700500488281e+01,1.796267867088317871e+00
-1.999647766351699829e-01,2.618723297119140625e+01,1.803136944770812988e+00
-1.429414898157119751e-01,2.620755958557128906e+01,1.804510712623596191e+00
-8.615693449974060059e-02,2.632752609252929688e+01,1.812753677368164062e+00
-6.597687602043151855e-01,2.629150009155273438e+01,1.780810117721557617e+00
-6.001227498054504395e-01,2.619313240051269531e+01,1.774054408073425293e+00
-5.419429540634155273e-01,2.614450454711914062e+01,1.770676493644714355e+00
-4.856432974338531494e-01,2.618552589416503906e+01,1.773378849029541016e+00
-4.280245006084442139e-01,2.615659523010253906e+01,1.771352052688598633e+00
-3.703927695751190186e-01,2.611756324768066406e+01,1.768649816513061523e+00
-3.130531013011932373e-01,2.608837890625000000e+01,1.766623139381408691e+00
-2.561363875865936279e-01,2.608900070190429688e+01,1.766623139381408691e+00
-1.999802887439727783e-01,2.618926620483398438e+01,1.773378849029541016e+00
-1.431702375411987305e-01,2.624950218200683594e+01,1.777432322502136230e+00
-8.577181398868560791e-02,2.620984268188476562e+01,1.774729967117309570e+00
-6.563147306442260742e-01,2.615386009216308594e+01,1.741625666618347168e+00
-6.024540066719055176e-01,2.629488372802734375e+01,1.750925064086914062e+00
-5.442589521408081055e-01,2.625623321533203125e+01,1.748268127441406250e+00
-4.843851923942565918e-01,2.611769104003906250e+01,1.738968729972839355e+00
-4.252817928791046143e-01,2.598898887634277344e+01,1.730333685874938965e+00
-3.699965476989746094e-01,2.608962440490722656e+01,1.736976027488708496e+00
-3.137953281402587891e-01,2.615023231506347656e+01,1.740961432456970215e+00
-2.564497888088226318e-01,2.612092399597167969e+01,1.738968729972839355e+00
-2.008336186408996582e-01,2.630101776123046875e+01,1.750925064086914062e+00
-1.430723220109939575e-01,2.623154830932617188e+01,1.746275424957275391e+00
-8.590897172689437866e-02,2.625175476074218750e+01,1.747603893280029297e+00
-6.606195569038391113e-01,2.632540512084960938e+01,1.722996354103088379e+00
-6.008992195129394531e-01,2.622702407836914062e+01,1.716467380523681641e+00
-5.426453948020935059e-01,2.617838859558105469e+01,1.713202834129333496e+00
-4.847916066646575928e-01,2.613960266113281250e+01,1.710591316223144531e+00
-4.277627170085906982e-01,2.614059829711914062e+01,1.710591316223144531e+00
-3.708733022212982178e-01,2.615144729614257812e+01,1.711244225502014160e+00
-3.133399486541748047e-01,2.611228179931640625e+01,1.708632588386535645e+00
-2.567629218101501465e-01,2.615281677246093750e+01,1.711244225502014160e+00
-2.003153264522552490e-01,2.623314094543457031e+01,1.716467380523681641e+00
-1.431374847888946533e-01,2.624349403381347656e+01,1.717120289802551270e+00
-8.578479290008544922e-02,2.621380805969238281e+01,1.715161561965942383e+00
-6.589158177375793457e-01,2.625751113891601562e+01,1.688581824302673340e+00
-6.009435057640075684e-01,2.622895622253417969e+01,1.686657190322875977e+00
-5.439262390136718750e-01,2.624018287658691406e+01,1.687298655509948730e+00
-4.861226677894592285e-01,2.621137428283691406e+01,1.685374021530151367e+00
-4.269778430461883545e-01,2.609263420104980469e+01,1.677675366401672363e+00
-3.709006309509277344e-01,2.615337562561035156e+01,1.681524634361267090e+00
-3.134827613830566406e-01,2.612418556213378906e+01,1.679600000381469727e+00
-2.567818462848663330e-01,2.615474319458007812e+01,1.681524634361267090e+00
-2.004062831401824951e-01,2.624505424499511719e+01,1.687298655509948730e+00
-1.429847478866577148e-01,2.621549034118652344e+01,1.685374021530151367e+00
-8.621565997600555420e-02,2.634547233581542969e+01,1.693714261054992676e+00
-7.162510752677917480e-01,2.625791358947753906e+01,1.658735394477844238e+00
-6.592139005661010742e-01,2.626939010620117188e+01,1.659365653991699219e+00
-6.032730340957641602e-01,2.633063125610351562e+01,1.663146972656250000e+00
-5.429314970970153809e-01,2.619219207763671875e+01,1.654323935508728027e+00
-4.837520718574523926e-01,2.608355140686035156e+01,1.647391438484191895e+00
-4.274986386299133301e-01,2.612446022033691406e+01,1.649912357330322266e+00
-3.710690140724182129e-01,2.616524696350097656e+01,1.652433276176452637e+00
-3.123079538345336914e-01,2.602628326416015625e+01,1.643610119819641113e+00
-2.567024528980255127e-01,2.614665794372558594e+01,1.651172757148742676e+00
-2.004207968711853027e-01,2.624695396423339844e+01,1.657474994659423828e+00
-1.428862214088439941e-01,2.619742965698242188e+01,1.654323935508728027e+00
-8.579732477664947510e-02,2.621763801574707031e+01,1.655584335327148438e+00
-7.184792160987854004e-01,2.633959770202636719e+01,1.633837819099426270e+00
-6.590103507041931152e-01,2.626128005981445312e+01,1.628886818885803223e+00
-6.017156243324279785e-01,2.626265525817871094e+01,1.628886818885803223e+00
-5.440043210983276367e-01,2.624394798278808594e+01,1.627649068832397461e+00
-4.832312166690826416e-01,2.605546951293945312e+01,1.615890383720397949e+00
-4.270391166210174561e-01,2.609638023376464844e+01,1.618365883827209473e+00
-3.705292642116546631e-01,2.612718772888183594e+01,1.620222568511962891e+00
-3.125696778297424316e-01,2.604809379577636719e+01,1.615271568298339844e+00
-2.572106420993804932e-01,2.619841957092285156e+01,1.624554753303527832e+00
-2.005874663591384888e-01,2.626878166198730469e+01,1.628886818885803223e+00
-1.429508179426193237e-01,2.620927238464355469e+01,1.625173568725585938e+00
-8.573810756206512451e-02,2.619954109191894531e+01,1.624554753303527832e+00
-7.182571887969970703e-01,2.633145713806152344e+01,1.603288888931274414e+00
-6.583051681518554688e-01,2.623317909240722656e+01,1.597213625907897949e+00
-6.013003587722778320e-01,2.624453163146972656e+01,1.597821116447448730e+00
-5.421805381774902344e-01,2.615596580505371094e+01,1.592353343963623047e+00
-4.840053319931030273e-01,2.609720802307128906e+01,1.588708043098449707e+00
-4.275588691234588623e-01,2.612814140319824219e+01,1.590530633926391602e+00
-3.699889779090881348e-01,2.608909034729003906e+01,1.588100552558898926e+00
-3.133101165294647217e-01,2.610979652404785156e+01,1.589315652847290039e+00
-2.565426528453826904e-01,2.613038063049316406e+01,1.590530633926391602e+00
-2.009063363075256348e-01,2.631054115295410156e+01,1.601466298103332520e+00
-1.424708366394042969e-01,2.612126922607421875e+01,1.589923143386840820e+00
-8.587475121021270752e-02,2.624129676818847656e+01,1.597213625907897949e+00
-7.166732549667358398e-01,2.627339172363281250e+01,1.569779634475708008e+00
-6.591015458106994629e-01,2.626491355895996094e+01,1.569183468818664551e+00
-6.036280393600463867e-01,2.634612464904785156e+01,1.573953032493591309e+00
-5.430452227592468262e-01,2.619767761230468750e+01,1.565010070800781250e+00
-4.845937788486480713e-01,2.612893676757812500e+01,1.560836791992187500e+00
-4.274248480796813965e-01,2.611995124816894531e+01,1.560240507125854492e+00
-3.701558709144592285e-01,2.610085868835449219e+01,1.559048175811767578e+00
-3.140502274036407471e-01,2.617147445678710938e+01,1.563221573829650879e+00
-2.569522261619567871e-01,2.617209815979003906e+01,1.563221573829650879e+00
-1.998530030250549316e-01,2.617259597778320312e+01,1.563221573829650879e+00
-1.427528262138366699e-01,2.617296981811523438e+01,1.563221573829650879e+00
-8.620730042457580566e-02,2.634291648864746094e+01,1.573356866836547852e+00
-7.164492011070251465e-01,2.626517868041992188e+01,1.539328694343566895e+00
-6.578936576843261719e-01,2.621677970886230469e+01,1.536404490470886230e+00
-6.036686301231384277e-01,2.634789657592773438e+01,1.544007539749145508e+00
-5.420472621917724609e-01,2.614953613281250000e+01,1.532310485839843750e+00
-4.859221577644348145e-01,2.620056152343750000e+01,1.535234808921813965e+00
-4.276169240474700928e-01,2.613168907165527344e+01,1.531140804290771484e+00
-3.715963661670684814e-01,2.620243263244628906e+01,1.535234808921813965e+00
-3.138317763805389404e-01,2.615327072143554688e+01,1.532310485839843750e+00
-2.556954324245452881e-01,2.604408645629882812e+01,1.525877118110656738e+00
-1.998664289712905884e-01,2.617435646057128906e+01,1.533480167388916016e+00
-1.422179341316223145e-01,2.607490158081054688e+01,1.527631640434265137e+00
-8.552704751491546631e-02,2.613504791259765625e+01,1.531140804290771484e+00
-7.186742424964904785e-01,2.634674835205078125e+01,1.514060020446777344e+00
-6.591892838478088379e-01,2.626840972900390625e+01,1.509472012519836426e+00
-6.032510399818420410e-01,2.632967185974121094e+01,1.512912988662719727e+00
-5.416691899299621582e-01,2.613129615783691406e+01,1.501442909240722656e+00
-4.824368059635162354e-01,2.601263427734375000e+01,1.494560718536376953e+00
-4.263383150100708008e-01,2.605355453491210938e+01,1.496854782104492188e+00
-3.697804510593414307e-01,2.607438659667968750e+01,1.498001813888549805e+00
-3.126545548439025879e-01,2.605516624450683594e+01,1.496854782104492188e+00
-2.562023401260375977e-01,2.609571838378906250e+01,1.499148845672607422e+00
-2.004132270812988281e-01,2.624596405029296875e+01,1.507751464843750000e+00
-1.429896354675292969e-01,2.621638870239257812e+01,1.506030917167663574e+00
-8.579405397176742554e-02,2.621663856506347656e+01,1.506030917167663574e+00
-7.127313613891601562e-01,2.612887954711914062e+01,1.471742987632751465e+00
-6.567271947860717773e-01,2.617029762268066406e+01,1.473991632461547852e+00
-6.021465659141540527e-01,2.628146553039550781e+01,1.480175495147705078e+00
-5.423249602317810059e-01,2.616293144226074219e+01,1.473429441452026367e+00
-4.841342270374298096e-01,2.610415840148925781e+01,1.470056533813476562e+00
-4.263658821582794189e-01,2.605523681640625000e+01,1.467245697975158691e+00
-3.706538379192352295e-01,2.613597106933593750e+01,1.471742987632751465e+00
-3.131539523601531982e-01,2.609678459167480469e+01,1.469494342803955078e+00
-2.558268308639526367e-01,2.605747032165527344e+01,1.467245697975158691e+00
-2.001212388277053833e-01,2.620772361755371094e+01,1.475678086280822754e+00
-1.427266001701354980e-01,2.616816329956054688e+01,1.473429441452026367e+00
-8.589761704206466675e-02,2.624828529357910156e+01,1.477926850318908691e+00
-7.174049019813537598e-01,2.630021476745605469e+01,1.451405167579650879e+00
-6.567687988281250000e-01,2.617195510864257812e+01,1.444244503974914551e+00
-5.987541079521179199e-01,2.613339614868164062e+01,1.442041277885437012e+00
-5.423592925071716309e-01,2.616458892822265625e+01,1.443693637847900391e+00
-4.847203195095062256e-01,2.613575935363769531e+01,1.442041277885437012e+00
-4.259027838706970215e-01,2.602693748474121094e+01,1.435982227325439453e+00
-3.688366711139678955e-01,2.600783729553222656e+01,1.434880614280700684e+00
-3.138926327228546143e-01,2.615834045410156250e+01,1.443142890930175781e+00
-2.567252516746520996e-01,2.614897918701171875e+01,1.442592024803161621e+00
